"name";"icon"
"Cuisine";"kitchen.svg"
"bar";"bar.svg"
"Douches";"shower.svg"
"Vestiaires";"locker.svg"
"Salle d'attente";"waiting-room.svg"
"Terrasse";"terrasse.svg"
"Jardin";"jardin.svg"
"Climatisation";"air-conditioning.svg"
"Accés PMR";"pmr.svg"
"Local à vélos";"bike.svg"
"Parkings";"parkings.svg"
"Zone de stockage";"storage.svg"
"Alarme";"alarm.svg"
"Salle de repos";"common-space.svg"
"Ascenseurs";"lift.svg"
"Espaces communs";"meeting.svg"
"Salle ERP";"erp.svg"
"Auditorium";"auditorium.svg"
"Wifi";"wifi.svg";"wifi.svg"
"Fibre optique";"optic-fiber.svg"
"Ordinateurs";"ordinateur.svg"
"Prises RJ45";"rj45.svg"
"Téléphone";"phone.svg"
"Fax";"fax.svg"
"Photocopieurs";"photocopier.svg"
"Rétroprojecteur";"retropro.svg"
"Ecrans";"board.svg"
"Télévision";"ecran.svg"
"Mobilier";"desk.svg"
"Domiciliation";"domiciliation.svg"
"Service de nettoyage";"cleaning.svg"
"Service de réception";"accueil.svg"
"Gestion des courriers";"mail-management.svg"
"Fournitures de bureau";"desk-furniture.svg"
"Evènements professionnels";"event-pro.svg"
"Rencontres informelles";"unformal-meeting.svg"
